LATITUD,LONGITUD,ACTIVIDAD,TIPO,FECHA
-6.12385326,-76.84167805,Transportes,ITS,20/02/2019
-14.53932181,-75.18326209,Transportes,Clasificación,31/07/2018
-15.67244689,-74.52175233,Transportes,Clasificación,31/07/2018
-13.15209764,-70.39899865,Minería,ITS,20/08/2020
-13.15209764,-70.39899865,Minería,ITS,21/08/2020
-13.15209764,-70.39899865,Minería,ITS,28/08/2020
-13.15209764,-70.39899865,Minería,ITS,5/09/2020
-13.15209764,-70.39899865,Minería,ITS,7/09/2020
-12.90625629,-73.60211956,Transportes,Clasificación,10/07/2019
-10.64982749,-76.15976918,Transportes,Clasificación,6/11/2018
-13.77788738,-76.17274282,Minería,ITS,10/01/2019
-5.15656882,-80.75123974,Transportes,ITS,18/07/2019
-9.87992318,-76.47083287,Transportes,ITS,18/07/2019
-13.66068724,-71.60562191,Transportes,ITS,19/07/2019
-12.23857584,-69.14387705,Transportes,ITS,11/03/2020
-13.52613218,-70.89579055,Transportes,ITS,31/07/2018
-6.9862,-78.5205,Minería,MEIA-d,30/04/2018
-6.76329946,-78.62061249,Minería,ITS,29/12/2017
-4.588,-81.2014,Hidrocarburos,ITS,30/06/2016
-11.6993171,-76.11069864,Minería,Clasificación,6/12/2018
-9.1498,-77.3679,Electricidad,Clasificación,25/08/2016
-7.6121,-78.2019,Minería,ITS,13/11/2018
-11.8096,-72.88,Hidrocarburos,ITS,26/11/2018
-15.37062955,-75.01590569,Electricidad,Clasificación,29/11/2018
-14.72682934,-73.17972761,Minería,ITS,7/12/2018
-6.05028871,-77.92941517,Transportes,ITS,10/12/2018
-10.62937221,-76.69256759,Minería,ITS,14/01/2019
-17.05015761,-70.73324014,Minería,ITS,16/01/2019
-17.11625312,-70.64370481,Minería,ITS,11/02/2019
-12.31235719,-69.17039195,Transportes,ITS,3/03/2020
-16.26308573,-71.67149614,Transportes,Clasificación,13/11/2018
-16.52561525,-71.58299055,Minería,ITS,29/05/2019
-13.08875296,-75.99093623,Minería,ITS,15/07/2019
